,StudyID,ParticipantID,TestID,TrialID,Training,isDesigner,GreekLatin,First,Second,Composite pair,Congruent pair,Same,Response,Correct,Correct (normalized),ET,RT,RT (normalized),Date
0,Main,0,0,1,Letter designer,True,,d_BC,d_AD,True,True,False,Sure different,1,3.141592653589793,800.0,7397.0,8.908829791587868,2022-06-28 12:51:46
1,Main,0,0,2,Letter designer,True,,u_AA,u_DD,False,True,False,Sure different,1,3.141592653589793,800.0,3650.0,8.202482446576537,2022-06-28 12:51:46
2,Main,0,0,3,Letter designer,True,,d_AA,d_DD,False,True,False,Sure different,1,3.141592653589793,800.0,3404.0,8.132706489693264,2022-06-28 12:51:46
3,Main,0,0,4,Letter designer,True,,d_AA,d_AA,False,True,True,Probably same,1,3.141592653589793,725.0,5921.0,8.686260632531775,2022-06-28 12:51:46
4,Main,0,0,5,Letter designer,True,,i_AA,i_DD,False,True,False,Sure different,1,3.141592653589793,650.0,3438.0,8.142645185942795,2022-06-28 12:51:46
5,Main,0,0,6,Letter designer,True,,d_AD,d_BC,True,True,False,Sure different,1,3.141592653589793,575.0,3137.0,8.051022208190679,2022-06-28 12:51:46
6,Main,0,0,7,Letter designer,True,,i_AD,i_BD,True,False,False,Probably same,0,0.0,500.0,4291.0,8.364275084991524,2022-06-28 12:51:46
7,Main,0,0,8,Letter designer,True,,d_AD,d_BD,True,False,False,Sure different,1,3.141592653589793,425.0,2896.0,7.971085753505607,2022-06-28 12:51:46
8,Main,0,0,9,Letter designer,True,,u_AB,u_AD,True,False,True,Sure same,1,3.141592653589793,350.0,4333.0,8.374015421739909,2022-06-28 12:51:46
9,Main,0,0,10,Letter designer,True,,d_AB,d_AD,True,False,True,Probably same,1,3.141592653589793,275.0,4479.0,8.4071550862073,2022-06-28 12:51:46
10,Main,0,0,11,Letter designer,True,,u_BC,u_AD,True,True,False,Sure different,1,3.141592653589793,200.0,2855.0,7.956827122090111,2022-06-28 12:51:46
11,Main,0,0,12,Letter designer,True,,u_AA,u_AA,False,True,True,Probably same,1,3.141592653589793,200.0,3928.0,8.275885669474356,2022-06-28 12:51:46
12,Main,0,0,13,Letter designer,True,,i_AD,i_BC,True,True,False,Probably different,1,3.141592653589793,275.0,7629.0,8.93971205409023,2022-06-28 12:51:46
13,Main,0,0,14,Letter designer,True,,i_AB,i_AD,True,False,True,Probably same,1,3.141592653589793,350.0,4692.0,8.453614209773367,2022-06-28 12:51:46
14,Main,0,0,15,Letter designer,True,,u_AD,u_AD,True,True,True,Sure different,0,0.0,425.0,3120.0,8.045588280803528,2022-06-28 12:51:46
15,Main,0,0,16,Letter designer,True,,u_DD,u_AA,False,True,False,Sure same,0,0.0,500.0,10450.0,9.254357257392957,2022-06-28 12:51:46
16,Main,0,0,17,Letter designer,True,,d_AD,d_AD,True,True,True,Probably same,1,3.141592653589793,575.0,4449.0,8.400434630806041,2022-06-28 12:51:46
17,Main,0,0,18,Letter designer,True,,i_AA,i_AA,False,True,True,Probably same,1,3.141592653589793,650.0,3782.0,8.238008249218403,2022-06-28 12:51:46
18,Main,0,1,1,Letter designer,True,,n_DD,n_AA,False,True,False,Sure different,1,3.141592653589793,266.7,5497.0,8.61195776786066,2022-06-28 12:51:46
19,Main,0,1,2,Letter designer,True,,a_AD,a_AB,True,False,True,Sure same,1,3.141592653589793,266.7,3611.0,8.191740021277457,2022-06-28 12:51:46
20,Main,0,1,3,Letter designer,True,,c_AD,c_AD,True,True,True,Probably same,1,3.141592653589793,266.7,2960.0,7.992944547318106,2022-06-28 12:51:46
21,Main,0,1,4,Letter designer,True,,r_AD,r_BD,True,False,False,Sure different,1,3.141592653589793,266.7,3224.0,8.07837810362652,2022-06-28 12:51:46
22,Main,0,1,5,Letter designer,True,,e_AD,e_AD,True,True,True,Probably same,1,3.141592653589793,266.7,3705.0,8.217438537730187,2022-06-28 12:51:46
23,Main,0,1,6,Letter designer,True,,j_AB,j_AD,True,False,True,Probably same,1,3.141592653589793,266.7,6587.0,8.792853288640693,2022-06-28 12:51:46
24,Main,0,1,7,Letter designer,True,,r_AD,r_AD,True,True,True,Probably same,1,3.141592653589793,266.7,2952.0,7.990238185720363,2022-06-28 12:51:46
25,Main,0,1,8,Letter designer,True,,j_AD,j_AD,True,True,True,Probably same,1,3.141592653589793,266.7,2893.0,7.970049304976135,2022-06-28 12:51:46
26,Main,0,1,9,Letter designer,True,,q_AA,q_DD,False,True,False,Sure different,1,3.141592653589793,266.7,3108.0,8.041734711487537,2022-06-28 12:51:46
27,Main,0,1,10,Letter designer,True,,b_BC,b_AD,True,True,False,Sure different,1,3.141592653589793,266.7,2614.0,7.868636894184167,2022-06-28 12:51:46
28,Main,0,1,11,Letter designer,True,,n_AD,n_BD,True,False,False,Sure different,1,3.141592653589793,266.7,2544.0,7.841492924460013,2022-06-28 12:51:46
29,Main,0,1,12,Letter designer,True,,c_AA,c_AA,False,True,True,Probably same,1,3.141592653589793,266.7,3121.0,8.045908742270779,2022-06-28 12:51:46
30,Main,0,1,13,Letter designer,True,,q_AB,q_AD,True,False,True,Probably same,1,3.141592653589793,266.7,3076.0,8.031385330625534,2022-06-28 12:51:46
31,Main,0,1,14,Letter designer,True,,e_BD,e_AD,True,False,False,Probably same,0,0.0,266.7,3573.0,8.181160858023409,2022-06-28 12:51:46
32,Main,0,1,15,Letter designer,True,,c_AD,c_BC,True,True,False,Sure different,1,3.141592653589793,266.7,3464.0,8.150179269682326,2022-06-28 12:51:46
33,Main,0,1,16,Letter designer,True,,e_AB,e_AD,True,False,True,Probably same,1,3.141592653589793,266.7,13894.0,9.539212371252827,2022-06-28 12:51:46
34,Main,0,1,17,Letter designer,True,,z_DD,z_AA,False,True,False,Sure different,1,3.141592653589793,266.7,2627.0,7.87359778968554,2022-06-28 12:51:46
35,Main,0,1,18,Letter designer,True,,e_BC,e_AD,True,True,False,Probably same,0,0.0,266.7,3628.0,8.196436811235028,2022-06-28 12:51:46
36,Main,0,1,19,Letter designer,True,,r_AA,r_AA,False,True,True,Probably same,1,3.141592653589793,266.7,2692.0,7.898039690764619,2022-06-28 12:51:46
37,Main,0,1,20,Letter designer,True,,n_AA,n_AA,False,True,True,Probably same,1,3.141592653589793,266.7,2324.0,7.751045117971802,2022-06-28 12:51:46
38,Main,0,1,21,Letter designer,True,,h_AD,h_AD,True,True,True,Probably same,1,3.141592653589793,266.7,2417.0,7.790282380703483,2022-06-28 12:51:46
39,Main,0,1,22,Letter designer,True,,c_AD,c_BD,True,False,False,Probably different,1,3.141592653589793,266.7,3187.0,8.066835314417336,2022-06-28 12:51:46
40,Main,0,1,23,Letter designer,True,,b_AD,b_AD,True,True,True,Probably different,0,0.0,266.7,2394.0,7.780720886117918,2022-06-28 12:51:46
41,Main,0,1,24,Letter designer,True,,b_AA,b_AA,False,True,True,Probably same,1,3.141592653589793,266.7,3323.0,8.108623268354595,2022-06-28 12:51:46
42,Main,0,1,25,Letter designer,True,,p_BC,p_AD,True,True,False,Probably different,1,3.141592653589793,266.7,5288.0,8.573195381531523,2022-06-28 12:51:46
43,Main,0,1,26,Letter designer,True,,r_AB,r_AD,True,False,True,Probably same,1,3.141592653589793,266.7,3232.0,8.080856419640986,2022-06-28 12:51:46
44,Main,0,1,27,Letter designer,True,,q_AA,q_AA,False,True,True,Probably same,1,3.141592653589793,266.7,2827.0,7.946971357693591,2022-06-28 12:51:46
45,Main,0,1,28,Letter designer,True,,h_AD,h_BD,True,False,False,Sure different,1,3.141592653589793,266.7,3311.0,8.105005537547246,2022-06-28 12:51:46
46,Main,0,1,29,Letter designer,True,,b_DD,b_AA,False,True,False,Sure different,1,3.141592653589793,266.7,2342.0,7.758760544157663,2022-06-28 12:51:46
47,Main,0,1,30,Letter designer,True,,c_AB,c_AD,True,False,True,Probably same,1,3.141592653589793,266.7,4671.0,8.449128460502108,2022-06-28 12:51:46
48,Main,0,1,31,Letter designer,True,,j_AD,j_BD,True,False,False,Sure different,1,3.141592653589793,266.7,2769.0,7.926241523170962,2022-06-28 12:51:46
49,Main,0,1,32,Letter designer,True,,z_AA,z_AA,False,True,True,Probably same,1,3.141592653589793,266.7,3197.0,8.069968149059841,2022-06-28 12:51:46
50,Main,0,1,33,Letter designer,True,,n_AB,n_AD,True,False,True,Probably same,1,3.141592653589793,266.7,2675.0,7.891704659330107,2022-06-28 12:51:46
51,Main,0,1,34,Letter designer,True,,h_DD,h_AA,False,True,False,Sure different,1,3.141592653589793,266.7,2738.0,7.914983005848394,2022-06-28 12:51:46
52,Main,0,1,35,Letter designer,True,,j_AA,j_DD,False,True,False,Sure different,1,3.141592653589793,266.7,2391.0,7.779466967458324,2022-06-28 12:51:46
53,Main,0,1,36,Letter designer,True,,j_BC,j_AD,True,True,False,Sure different,1,3.141592653589793,266.7,2392.0,7.779885115070522,2022-06-28 12:51:46
